author,year,title,no_evidence,evidence,empirical_pro,empirical_con,opinion_pro,opinion_con_buts,comments,manual_tags
"Allen, Christopher; Mehler, David M. A.",2019," Open science challenges, benefits and tips in early career and beyond ",FALSE,,see study,,tbd,,,empirical; include; RRs
Anonymous,2018, What next for registered reports ,TRUE,,,,"RRs = can focus on importance of question & quality of methods ""without ...being distracted by ... the results.""; RRs prevent pub bias b/c ensure all results are published; can feel ""truly collaborative"" b/c feedback can improve design; ","success of RRs depends on them being ""recognized as publications that transparently document the confirmatory, pre-planned nature of the research"" - RRs will only ""fulfil its promise"" if people can  compare stage 1 & stage 2s = both must be public",,include_key
"Ansari, Daniel; Gervain, Judit",2018, Registered Reports: introducing a new article format in Developmental Science ,TRUE,,,,"RRs prevent researchers being able or asked to p-hack or HARK b/c they must prereg questions & hypotheses; RRs encourage statistical rigour = limits false positives b/c mandate a power analyssi of 90%; feedback can improve design = ""arguably more constuctive forum for peer review"";  IPA = RRs incentive high-risk (costly or complicated),  high-gain developmental research b/c publication guarenteed'; RRs are an "" important venue for the replication"" = ensure developmental research is cumulative & test if theoretical models have strong empirical basis; the editors expect RRs to "" facilitate the publication of important discoveries in research on human development.""; Their aim of offering RRs is to meet researchers' desire to disseminate reesearch & advance knowledge ""in novel ways that focus on theory and method rather than on results, acknowledging the real contribution of “null results” and unexpected findings""",BUT RRs don't stile creativity b/c unplanned analyses welcome + minor deviations welcome if editor informed & disclosed,,include_key_has_critique
"Bloomfield, Robert; Rennekamp, Kristina; Steenhoven, Blake",2018, No System Is Perfect: Understanding How Registration-Based Editorial Processes Affect Reproducibility and Investment in Research Quality ,FALSE,,see study,,,,,empirical; include_key
"Campbell, Harlan; Gustafson, Paul",2018, Conditional equivalence testing: An alternative remedy for publication bias ,TRUE,,,,RR prevents pub bias by mandating prereg with IPA; avoids file-drawing of null results b/c  RR journals publish abstracts of withdraw studies & mandate protocol adherence ; IPA prevents results-based rejection by editors & reviewers,"RR journals may become a ªdumping groundº [28] for null and ambiguous findings"" that's don’t advance science BUT RRs that mandate 90% (sometime 80%) power avoid this BUT this disadvantages researchers with limited resources or expensive techniques, excludes low powered studies which can provide value & learning potential, forces RRs that don't achieve sample size target to be rejected or given special compensation + ""power calculations are often flawed"" by changing anticipated effect size to affordable sample size & ""often ""wildely optimistic""[39]"" due to ""follow-up bias"" & ""illusion of power"" BUT RRs could have authors commit to attaining a certain Bayes Factor instead of a sample size (which some already do)",,include_key_critique
"Chambers, Chris",2019, What's next for Registered Reports? ,FALSE,quasi,"""At the journal Cortex, where I serve as an editor, the acceptance rate for Stage 1 RRs that enter in-depth review is about 90%: more than double that of conventional articles. The publication rate at Stage 2 is currently 100%, with no withdrawals by authors."";  I have overseen numerous cases in which reviewers have intervened to prevent a serious flaw in a study design — adding crucial controls, ensuring the sample size is sufficient or explaining why the hypotheses or planned statistical analyses cannot really answer the research question. Even when a proposed design is sound, the review process often adds clarity and focus. In my experience, the reviewers find the process rewarding. One comment from a reviewer is typical of the informal feedback I receive: “If the authors can incorporate many of the suggestions from all of us reviewers, they will have a far better study than what they originally planned, which is really valuable and exciting. ; ""They cannot wait two to four months for a Stage 1 manuscript to complete peer review""; y."" RRs are popular with early-career researchers. For example, at Cortex, 78% of RR first authors (n=82) are PhD students or postdocs, compared with 67% in a control sample (n=57) of conventional articles. ""; ""Over the past six years, dozens of authors have told me —and written publicly — that they appreciate the more-predictable timeline of RRs"";  ""Stage 2 submissions almost always include further analyses.""; ""In my experience, the opposite [to people being locked into a bad protocol] is more likely: reviewers can prevent researchers from running less-informative experiments""; ""reviewers of Stage 2 manuscripts generally understand reasonable changes.""",,"IPA = authors don't need to present clean, compelling narrative of results; ""s. I hope RRs will become an option in all mainstream life- and social-science journals within ten years""; reviewers can improve the design; IPA benefits students b/c they can list publication earlier & more certainly than traditional submissions; shorter total time to publication b/c resubmission & requests of additional studies less likely; prevents researchers leaving reasonable & questionable changes unreported; prevents selective analysis reporting & HARKing","Unsuitable for non-hypothesis driven & methods development research; RRs ""intended only to strengthen the rigour and transparency"" of hypothesis-driven research BUT researchers must wait for IPA before collection = unsuitable if researchers can't wait (e.g. unpredicatble events or undergrad projects) or  ; RR are suitable for sequential studies where design depends on each others results BUT authors rarely do this maybe b/c multiple rounds of pre-study review is too time consuming instead authors submit a follow-up study to a series or submit a plan for the entire series; concern less flexible = constrains creativity & serendipity from data exploration BUT not true b/c unplanned analyses welcome; concern it locks researchers into adhering to poor quality protocol BUT this rarely happens (see empirical_pro); if journals publish Stage 2 manuscripts only readers can't compare it with protocol",,include_key
"Chambers, Christopher; Feredoes, Eva; Muthukumaraswamy, Suresh; Etchells, Peter",2014,Instead of “playing the game” it is time to change the rules: Registered Reports at AIMS Neuroscience and beyond,TRUE,,,,tbd - not empirical,,,announcement_RRs; include_referenced
"Chambers, Christopher D.; Mellor, David T.",2018, Protocol transparency is vital for registered reports ,FALSE,,"50% of 70 journals with permanent RR policies ""required protocol registration or routinely published the accepted protocols. Beginning in April 2018, we have contacted the editors of these journals to recommend updating their policies."". Fig 1. To date of the 88 permanent adopter ""the editorial policies of 68% (N = 60) now require protocol transparency, and an additional 8% (N = 7) have approved our recommendations and are pending publication of their revised policies. The remaining 24% (N = 21) do not visibly require protocol transparency and are either considering our recommendations or have not responded."" ""no editors have yet declined the update ... We will continue to pursue this matter and are confident of achieving near-total compliance, though journals are not obliged to follow our recommendations""",,,RR journals lack currently lack protocol transparency = readers can't compare protocol & publication BUT our contacting the editors was successful (see empirical); RR journals lack standardised protocol registration = protocols may unverifiable & confusing BUT new registry now offered on OSF & we are seeking unpublished protocols to pushish in it; no evidence of how RRs differ from traditional articles,,empirical; include_key
"Cropley, Arthur",2018, Research as Artisanship versus Research as Generation of Novelty: The March to Nowhere ,TRUE,,,,"IPA = prevents pub bias for novelty b/c ""solid, reliable style"" prefered to ""novel but risky substance"" b/cacceptance based on methodological quality NOT their possible contribution to scholarly thinking","One RR journal requires submissions provide ""labouraous explanations"" of methods which is important BUT ""it is hard for me to believe that the provision of such information takes precedence over the provision of novel —if risky—ideas""",,include_key_critique
"Grand, James A.; Rogelberg, Steven G.; Banks, George C.; Landis, Ronald S.; Tonidandel, Scott",2018, From Outcome to Process Focus: Fostering a More Robust Psychological Science Through Registered Reports and Results-Blind Reviewing ,FALSE,quasi,"""Anecdotally, the analysis plan section appears to be the most angstprovoking out of concern that it connotes too much rigidity and unrealistic forethought (e.g., analyses cannot be completely specified as they are dependent on what is observed).""",,"RRs could improve research conduct, evaluation & interpretation + ""we believe they represent viable methods for improving the robustness of [psychological] science that cannot be adequately addressed by current publication practices and thus merit consideration.""; pre-study review = shift focus of editorial decisons to ""the plausibility, importance, and soundness"" of research questions & methods not results = RRs ""likely the most rigorous and strict in engendering a process focus"" compared to results-blind review b/c feedback can improve design which also minimises QRPs (HARKing, p-hacking, manipulating measures, selective analysis reporting); IPA reduces incentives for QRPs to get signfiicant results; encourages precise protocols; RRs = ""cleaner & more natural means for "" keeping confirmatory & exploratory analyses distinct = better interpretation of results; IPA may mitigate ""risk"" of investing time & resources into replications","Extent feedback informs design likely to vary across journals & subfields; need transparent practices & discussion of how much RR process should inform design (e.g. could mean questions/methods that challenge established beliefs are excluded); unsuitable for some research BUT RR can ""be adapted for quantitative inductive studies, traditional qualitative studies, and meta-analytic reviews with little to no loss of their benefits."" BUT adaptation may be challenging BUT probably possible;IPA for meta-analyses may be tricking in case number of primary sample is insufficient BUT could ask for evidence of number of studies/maturity of research topic; evalutating qualitative inductive may be hard BUT could ask for interview methodology & critiera for saturation; evaluating sequential studies may be hard esp if first study in sequence is exploratory BUT ask for contingencies if initial experiments fail/support main hypotheses or require multiple rounds of review; ambigious norms for evaluating potential importance/contribution; conern RRs limit discovery/revised thinking BUT welcome unplanned analyses BUT the focus on hypothesis & confirmatory theory testing in psychological science may mean RR authors, reviewers & editors have to ""train themselves on how to evaluate the utility of explroatory analyses .. to recognize that transparency is more beneficial to science than the packaging of findings into a nice and neat artificial box""; concern RRs = more null results BUT unsure if there will be more null results & they hypothesise that papers will get more mixed results & won't be ""overrun"" with null results = identifies future research needed to understand ""process mechanisms and boundary conditions of phenomena""; concern null results don't contribute BUTany results of well-designs studies of important phenomena can advance understanding; concern RRs are more effortful for authors & reviewers BUT they ""do not agree"" b/c stage one submissions are shorter than full manuscripts + may reduce time to publication b/c can reduce resubmission of flawed papers + review mission more focused at each stage + RR process  already familiar b/c similar to review process of grant & dissertation proposals; RRs can have flawed power calculations if authors estimate larger effect sizes to avoid large sample requirements; review practices could still be unrelated to research quality; reviewers & editors could be too influential in design; RRs can't eliminate gaming the system for publication BUT it can reduce the need for it b/c shifts focus from results to methods & questions",,include_key
"Goldstein, Itay; Jiang, Wei; Karolyi, G. Andrew",2019,To FinTech and Beyond,FALSE,,see study,,tbd,,,include; empirical_case_study
"Greiff, Samuel; Allen, Mark S.",2018, EJPA Introduces Registered Reports as New Submission Format ,TRUE,,,,"pre-study review aligns scientific values & practice; prereg helps eliminate selective data & analysis reporting + HARKing; pre-study review = more reproducible + prevents pre-existing beliefs biasing interpretation of study results (e.g. bias vs null results of suposedly established phenomena/methods) = one of the core reasons they are now offering RRs; IPA = removes worry that results will prevent publication; ""The decision to offer ... RRs is part of an overarching strategy to increase transparency and accountability.""; ",concern RRs prevent data exploration BUT unplanned analyses welcome; unsuitable for some research,,include_key
"Hardwicke, Tom E.; Ioannidis, John P. A.",2018, Mapping the universe of registered reports ,FALSE,,see supp & data,The Lancet scheme was abandonned = shows theoretical benefits of RRs aren't guarenteed; sharing IPA protocols = readers can check protocol adherence & check researchers & journals do publish final reports regardless of outcomes BUT  many RRs don't share IPA protocols (see supp) + those that are often can't be verified (see supp),"pre-study review = feedback can improve design = avoids waste of a flawed design; IPA = publication decisions based on quality of research quesiton & methods = reduces pub bias vs messy & null results; enforced reporting of protocol deviations & enforced protocol adherence = less selective outcome reporting, cherry picking & HARKing; RRs ""seem to be a promising initiative that may improve the transparency, validity and credibility of registered studies""",problematic implementation could undermine RR benefits; scooping fears may prevent IPA protocol sharing BUT can be embargoed BUT sharing may avoid duplication BUT partial embargo could release summary to avoid this; IPA protocol registration is variable BUT new central registry at OSF may help BUT its sucess will depend on endorsement & contribution by all stakeholders; need continuous evaluation to determine if theoretical benefits are realised; stage ones may not constain researcher degrees of freedom; IPA may not be honored by authors or journals; major or undisclosed/justified protocol deviations may occur; submissions with IPA may be abandoned,,empirical; trials; include_key
"Horbach, S. P. J. M.; Halffman, W.",2019, The ability of different peer review procedures to flag problematic publications ,FALSE,,% RRs with retractions? - emailed them to find out,,,,,empirical; retraction; include; RRs
"Kettler, Todd",2019, Conducting Registered Report Research: A Conversation With Matthew McBee and Scott Peters ,FALSE,quasi,see 2 interviews,,,,,include_key; empirical_case_study
"Kiyonaga, Anastasia; Scimeca, Jason M.",2019, Practical Considerations for Navigating Registered Reports ,TRUE,,,,"IPA, pre-study review, mandated protocol adherence & ability of feedback to inform design = RRs align research practice with ideals of scientific method; prereg hypotheses = RRs powerful way to test new theories or compare competing theories; RRs aim to limit researcher degrees of freedom & ensure rigour","RR instructions to authors can simplify/ignore the multifaceted nature of RR criteria = creates uncertainty/mystefies process = may prolong process or deter researchers; many instructions to authors require power calculatios BUT unclear how guideline can be met; RRs require more upfront effort BUT will mean more robust & reliable research BUT authors should have skills to meet criteria at start;  RRs favour simple analysis plans with well-defined hypotheses b/c few power analysis tools availible for complex analyses bUT RRs are suited to complex datasets & research questions if predictions expressed as simplest condition comparisons; some analytical choices may have to be data-dependent BUT can prereg algorithmic approaches (e.g. step-wise regression) or  contingency plans e.g. if-then decision trees; deviations can revoke IPA = auhtors may not forsee complications or may specify critiera inessential to result's reliability that disqualify data or create counterproductive methodological inflexibility  BUT authors can anticipate complications &ensure every critiera boosts rigour BUT "" the most vexing aspect of the entire Registered Report process may be anticipating potential complications,""; ; RR shifts labour to early study design BUT must monitor protocol adherence & troubleshoot unanticipated complications = are more work than traditional BUT pre-study review should improve research quality & credibility = benefits individuals & field overall",,include_key_has_critique
"Marsden, Emma; Morgan-Short, Kara; Trofimovich, Pavel; Ellis, Nick C.",2018," Introducing Registered Reports at Language Learning: Promoting Transparency, Replication, and a Synthetic Ethic in the Language Sciences ",FALSE,quasi,"From the reviewers’ point of view, their role is arguably more satisfying because they have the opportunity to identify methodological flaws before data are gathered, and we understand that reviewers indeed find this rewarding (C. Chambers, personal communication, January 16, 2017); citations of Registered Reports to date have been above the average for the journal they are published in (C. Chambers, personal communication, January 16, 2017)",,"RRs address issues with publication processes (pub bias & waste from flawed designs) b/c feedback can inform design; IPA = prevents pre-existing beliefs biasing interpretation of results = reduces pub bias = RRs promote submission & publication of replications; stage one must include all materials & protocols with aim of sharing them & can be shared before data collection  methods which would enable collaboration & independent replication = RRs are more transparent = could improve replication's quality & quantity; RRs get more citations than the average journal in their publishing journal = resolves concerns replications have ""low impact"" = will promote replication;  analyses can't be p-hacked or HARKed; data collected before stage one; impossible b/c  feedback will negate it, date-stamped data files are submitted + researchers subit logs of data collection process if appropriate; RRs = quality research",concern RRs prolong time to publication & yes pre-study review prolongs early phase of publication process BUT RR just redistibutes time of different research process stages & probably shorens it overall b/c  rejections & resubmissions less likely - stage 2 review quicker & publication more likely b/c  no delays from reviewers questioning study's importance or methodological quality = amoung major reasons for rejection + feedback can improve design even if study doesn't get IPA; authors could collect data before IPA BUT feedback will almost always require changes that invalidate it & researchers must submit date-stamped data files; conerns RRs limited to hypothesis testing BUT unplanned analyses welcome if clearly reported = ensure confirmatory & exploratory analyses distinct; concerns sharing materials & protocols shared before data collection = scooping by others BUT can embargo them; unsuitable for some research & high value of RRs may marginalise them BUT RRs don't replace existing formats they are just one way to increase rigour & replication for some methods & perspectives,,replication; transparency; open science; publication bias; preregistration; peer review; registered report; include_key_has_critique
"McIntosh, Robert D.",2017, Exploratory reports: A new article type for Cortex ,FALSE,quasi,Their experience at Cortex suggests RRs most suited to mature research questions or direct replications b/c developed theories & methods + previous studies/pilots to inform effect size of interst = precise predictions,,"RRs focuses review on importance of question & rigour & power of methods; detailed planning brings benefits; mandated protocol adherence = can't HARK or p-hack; Offering Exploratory Reports with aim of supporting & promoting exploratory open science & provide ""high-status specialised format"" to publish it, make it clear exploratory work doesn't have to be design or evaluated like hypothesis testing, make exploratory nature clear to reader+ make public statement that exploratory research is published & considered essential",RRs are inflexible & resource intensive; in theory could use RRs for exploratory research BUT too complicated & restictive in practice; success of Exploratory Reports depends on uptake by researchers & its contribution to the field,,incentives; registered-reports; include_key
"Mehlenbacher, Ashley Rose",2019, Registered Reports: Genre Evolution and the Research Article ,FALSE,quali,not 100% what this shows empircally although interesting - seems to focus on 1 RR as case study,,tbd,,,empirical; include_key
"Parker, Timothy; Fraser, Hannah; Nakagawa, Shinichi",2019, Making conservation science more reliable with preregistration and registered reports ,FALSE,quasi,"""In fact, the rate of acceptance of registered reports is around 70% (B. Nosek, personal communication)""; ""We predict the registered reports of early adopters are likely to garner more attention because these works will become exemplars for their respective area of study. Preregistration and registered reports are good for researchers, good for research, and good for the reliability of science as a whole.""",,"RRs provide all benefits of prereg but are stronger solution to biases; IPA = major benefit b/c publication & submission decisions independent of results; pre-study = feedback can improve study = better studies & no rejections due to flawed designs + high acceptance rate good for researchers b/c no waste from resubmissions; RRs are public statement of committment to transparency; selective reporting less likely; RRs reduce pub bias; Allen & Mehler (2018) = Rs have more null findings = ""excellent evidence"" RRs reduce bias = results-blind publication decisions are increasing reliability","Unsuitable for exploratory research; unsuitable for research that can't wait for IPA before collection e.g. systems with limited field seasons BUT could have ""expedited"" RR with three stages of review BUT noone offers this; concern methods can't be changed after IPA BUT small changes probably fine if approved by editors & pilot study will help avoid changes; unsuitable for some research using existing data BUT some journals allow RRs with existing data; there may be data-dependent analysis choices BUT can prereg decision rules that allow adjustment of data-analysis methods; concerns about exploratory analyses not being allow BUT manu journals welcome unplanned analyses; concerns RRs are more work BUT RRs have same workload benefits as prereg & shifts distibution of work not overall amount + can save time if feedback improves design = rejections less likely; concerns RRs are extra work for reviewers & editors BUT RRs shift distribution of work b/c most reviewing done at stage 1 & stage 2 requires less & field-wide burden of reviewing will reduce as resubmissions less likely; reviewing more satistfying b/c can improve design rather than condemn it; conern that prereg sufficient BUT RRs offer extra benefits of pre-study review + IPA = can do research without fear it won't be published b/c of a flawed design or unpublishable results",,include_key_has_critique
"Robertson, Miranda",2017, Who needs registered reports? ,FALSE,quasi,"""it’s clearly possible to find referees who are willing – other journals already do, and we have some volunteers from among our Editorial Board.""; they surveyed their editorial board and of those who replied 50% were for RRs, about 1/3 were skeptical & the rest were against RRs",,,"RRs mean null results will get published BUT any results are important if the quesiton is; reviewers might scoop BUT risk is low, publication is guarenteed & submision date of stage one will be obvious; reviewing will often be more work BUT referees are willing (see empirical_pro); concern unsuitable for sequential studies where results depend on each other BUT can predict different possible results & plan contingencies + unplanned analyses welcome BUT will be unsuitable for some research (and most biological research); authors could withdraw stage one and submit stage 2 to different journal BUT journals can publish notices of withdrawal",,include_key; empirical_case_study; announcement_RRs
"Shaw, Steven R.; D'Intino, Joseph S.; Lysenko, Ekaterina",2019," Registered Reports, Replication, and the Canadian Journal of School Psychology: Improving the Evidence in Evidence-Based School Psychology ",TRUE,,,,"RRs minimise pub bias, p-hacking, harking, low statistical power, and increase transparency = RRs more likely to have robust evidence; prereg reduces pub bias, HARKing, p-hacking & selective results reporting",,,publication bias; incentives; editorial; crisis; evidence-based interventions; improving research; registered   reports; replications; include_key_has_critique
"Spiller, Tobias R.; Olff, Miranda",2018, Reducing uncertainty in research: introducing registered reports ,TRUE,,,,"aim of RRs is to grant publication on relevance of question & appropriateness of methods not on the results b/c all answers to important questions are important; RRs increase predicability of research process b/c IPA = researchers have security of guarenteed publication, outcomes of a research project are more predictable + IPA protocols can be added to CVs; faster publication once stage 2 submitted b/c only review results & discussion + IPA = no resubmissions b/c rejection for non-novelty, results or flawed design; more likely to have adequate methods + be a true postive; RRs have educational; RRs will help their researchers, field & journal to increase research reliability = help fulfil ethical obligation to prevent harm to beneficiaries","concerns prereg will prevent exploratory analyses BUT unplanned analyses welcome if justified & primary outcome not changed; concerns unsuitable for existing data BUT RRs sutiable for allconfirmatory research including existing data & qualitative;  pre-study review occurs before data collection & focuses on relevance of question & appriateness of methods including sufficent methods & power = planning may be more work BUT less work than changing methods after data collection; higher predictability & guarenteed publications may not interest established researchers BUT crucial for ECRs & students b/c successful completion more likely, strenthens job applications & increases security = may help mental health & prevents careers being damaged by prolonged projects & unpublishable results",,include_key_has_critique
"van 't Veer, Anna Elisabeth; Giner-Sorolla, Roger",2016, Pre-registration in social psychology-A discussion and suggested template ,FALSE,quasi,"In our own experience with RPR, suggestions by reviewers reflected a valuable collaborative effort to ensure the best possible test of the hypotheses (e.g., van ‘t Veer, Gallucci, Stel, & van Beest, 2015).","""Currently, submitted manuscripts are often prepared in word-processing software and contain insufficient methodological detail or linking between predictions and analyses. ""","IPA = prereg will reduce pub bias for confirmatiory results; pre-study review adds scruitiny of design = more flaws can be avoided; RR process ""makes better use of reviewers’ and editors’ critical efforts"" b/c can improve design; RR esp beneficial to students & ECRs b/c accepted stage 1s demonstrate skills of theorising, conceiving & implementing  w/o needing to wait for (publishable) results + shifts incentive from quantitiy to quality & from results to method (important ""especially for people at a delicate career stage""); RR journals will report more null results = reduce pub bias; ","Definitive conclusions are premature BUT reasonable to expect some positives; RRs more efforful b/c additional peer-review + editors & reviewers need to check & assess aherence to protocol + review validity of any exploratory analyses BUT whole review process could be shorter under RR b/c revisions (additional studies & analyses) less likely & probably simpler as many could be requested in stage 1,   better designs = less resubmisions + eliminates detective work editors & reviewers may need to make to uncover selective analysis; most effective for single-studies, sequential studies independent from each other's outcomes &  sequestional studies (with alternate plans for studies that depend on previous outcomes) b/c other types of sequential studies will need multiple rounds of pre-study & IPA = will increase time & effort considerably; RRs will mean more null results in journals BUT null results can reveal unreliable theory & methods = others can avoid/refine them earlier = saves time & effort = faster knowledge accumulation + encourage rigourous methods (powered, validated manipulations & measures) b/c otherwise null results can be blamed on shaky methods/Type II error; reviewers may steal research ideas (scooping) BUT still a risk in grant & traditional reviewing + obvious +  provable; pre-study review can identify undiscplosed flexibility in prereg BUT will only be as good as the reviewers",paper talked about reviewed & unreviewed prereg and refered to prereg when talking about benefits both had. Most of the benefits of RRs they discussed were those afforded by prereg,include_key_has_critique
"Weinhardt, Christof; van der Aalst, Wil M. P.; Hinz, Oliver",2019, Introducing Registered Reports to the Information Systems Community ,TRUE,,,,tbd - not empirical,,,reproducibility; announcement_RRs; include_key_has_critique
"Wessel, Ineke; Niemeyer, Helen",2019," We need to change our attitude, and journals can help: Reflections in response to Spiller & Olff (2018) ",TRUE,,,,"RRs are important step toward mitigating problems in psychology (e.g. publication bias for positive results & QRPs (e.g. p-value based optional stopping)); IPA & pre-study review = publication decisions based on analysis plan's ""specificity & quality) not result's significance or newsworthiness; RRs = precise study plans = will increase their research quality; tbd",,,open science; replication crisis; Registered reports; include_key
"Wiseman, Richard; Watt, Caroline; Kornbrot, Diana",2019, Registered reports: an early example an analysis ,FALSE,,see study,,,,,empirical; include_key
"Woznyj, Haley M.; Grenier, Kelcie; Ross, Roxanne; Banks, George C.; Rogelberg, Steven G.",2018, Results-blind review: a masked crusader for science ,FALSE,,see study,,,,,empirical; include
